IAPS,GF_FF,Combined_FF,PL_UN_FF,PL_FF,UN_FF,Combined_KF,PL_UN_KF,PL_KF,UN_KF,Combined_FN,PL_UN_FN,PL_FN,UN_FN
1050,3.71,4.57,-3.49,0.54,4.03,6.17,-3.09,1.54,4.63,6.28,-4.91,0.69,5.59
1070,2.43,2.74,-2.17,0.29,2.46,6.06,-2.63,1.71,4.34,4.85,-3.64,0.61,4.24
1112,2.66,3.29,-2.6,0.34,2.94,6.37,-4.09,1.14,5.23,5.67,-4.03,0.82,4.85
1304,2.8,3.11,-2.14,0.49,2.63,6.03,-3.11,1.46,4.57,5.06,-3,1.03,4.03
1321,2.26,2.69,0,1.34,1.34,6.77,0.37,3.57,3.2,4.97,-1.34,1.81,3.16
1350,2.49,3.03,-1.09,0.97,2.06,5.83,-0.29,2.77,3.06,4.48,0,2.24,2.24
1450,1.82,2,1.47,1.74,0.26,5.8,5.11,5.46,0.34,3.97,3.06,3.52,0.45
1610,2.46,2.83,2.31,2.57,0.26,6.63,5.83,6.23,0.4,6.41,5.42,5.88,0.47
1670,1.57,1.97,0.49,1.23,0.74,5.97,3.51,4.74,1.23,4.88,1.79,3.33,1.55
1710,4.11,4.91,4,4.46,0.46,7.74,6.43,7.09,0.66,7.03,6.22,6.63,0.41
1720,2.91,3.51,2.37,2.94,0.57,6.83,5.46,6.14,0.69,5.55,3.42,4.48,1.06
1750,3.41,4.15,3.38,3.76,0.38,6.97,6.74,6.86,0.11,6.79,6,6.39,0.39
2040,3.83,4.51,4.23,4.37,0.14,7.46,7.11,7.29,0.17,6.15,5.61,5.88,0.27
2095,4.46,4.77,-4.49,0.14,4.63,7.09,-6.46,0.31,6.77,6.48,-5.88,0.3,6.18
2205,4.34,4.77,-4.26,0.26,4.51,7.83,-3.6,2.11,5.71,6.85,-4.06,1.39,5.45
2384,1.6,1.77,1.03,1.4,0.37,6.43,4.54,5.49,0.94,4.78,2.22,3.5,1.28
2396,1.14,1.17,-0.43,0.37,0.8,5.06,0.17,2.61,2.44,3.56,-0.25,1.66,1.91
2445,1.42,1.73,0.15,0.94,0.79,5.74,3.23,4.49,1.26,4.64,1.36,3,1.64
2456,2.31,2.57,-1.54,0.51,2.06,6.54,-4.09,1.23,5.31,4.73,-3.03,0.85,3.88
2491,0.69,0.89,-0.09,0.4,0.49,5.49,-1.26,2.11,3.37,3.06,-0.94,1.06,2
2530,3.11,3.94,3.31,3.63,0.31,7.11,6.94,7.03,0.09,6.18,5.33,5.76,0.42
2688,4.6,5.37,-5.14,0.11,5.26,7.74,-6.71,0.51,7.23,6.15,-5.85,0.15,6
3000,5.59,6.44,-5.85,0.29,6.15,7.82,-7.59,0.12,7.71,7.31,-7.13,0.09,7.22
3005,1.54,1.77,1.43,1.6,0.17,6.46,3.03,4.74,1.71,4.28,1.97,3.13,1.16
3053,5.27,6.06,-5.33,0.36,5.7,7.8,-7.4,0.2,7.6,7.36,-6.58,0.39,6.97
3061,4.68,5.29,-4.76,0.26,5.03,7.83,-6.4,0.71,7.11,6.03,-5.42,0.3,5.73
3110,5.11,5.86,-4.77,0.54,5.31,7.46,-6.89,0.29,7.17,6.42,-6.06,0.18,6.24
3185,3.56,4.09,-3.62,0.24,3.85,6.71,-5.69,0.51,6.2,5.7,-5.39,0.15,5.55
3213,4.74,5.56,-4.44,0.56,5,7.46,-4.26,1.6,5.86,6.33,-5.67,0.33,6
3500,3.17,3.6,-2.91,0.34,3.26,7.31,-7.26,0.03,7.29,5.55,-4.88,0.33,5.21
4142,3.2,3.57,-0.09,1.74,1.83,6,1.26,3.63,2.37,4.48,0.18,2.33,2.15
4210,4.09,4.41,-1,1.71,2.71,6.14,0.77,3.46,2.69,4.88,-0.94,1.97,2.91
4220,2.5,3.29,1.24,2.26,1.03,6.29,3.43,4.86,1.43,4.97,2.28,3.63,1.34
4225,2.4,2.74,1.83,2.29,0.46,6.09,1.97,4.03,2.06,4.16,1.47,2.81,1.34
4240,3,3.26,-1.14,1.06,2.2,5.85,1.21,3.53,2.32,5.21,-0.36,2.42,2.79
4490,3.8,4.11,-1.66,1.23,2.89,5.34,-0.43,2.46,2.89,4.64,-2.09,1.27,3.36
4603,3,3.57,2.71,3.14,0.43,7.34,5.8,6.57,0.77,5.61,4.52,5.06,0.55
4664,3.63,4.2,0.94,2.57,1.63,6.74,4.34,5.54,1.2,5.28,0.53,2.91,2.38
4668,4.26,4.54,2.54,3.54,1,7.11,5.46,6.29,0.83,5.67,2.39,4.03,1.64
4693,3.77,3.71,1.26,2.49,1.23,6.74,4.91,5.83,0.91,4.94,1.69,3.31,1.63
5130,0.71,0.97,-0.46,0.26,0.71,4.14,-1.23,1.46,2.69,2.64,-1.24,0.7,1.94
5270,2.63,3.06,1.86,2.46,0.6,6.34,3.83,5.09,1.26,4.76,2.21,3.48,1.27
5550,1.63,1.91,0.43,1.17,0.74,5,3.06,4.03,0.97,4.12,1.94,3.03,1.09
5629,3.21,4.21,2.26,3.24,0.97,7.37,4.29,5.83,1.54,6.39,3.42,4.91,1.48
5661,2.83,3.2,3.03,3.11,0.09,6.57,5.71,6.14,0.43,5.67,4.45,5.06,0.61
5764,2.14,2.49,2.14,2.31,0.17,6.97,5.89,6.43,0.54,5.36,4.58,4.97,0.39
5779,2.26,2.77,2.71,2.74,0.03,6.86,6.46,6.66,0.2,6.06,5.45,5.76,0.3
5910,2.46,2.77,2.09,2.43,0.34,7.06,6.37,6.71,0.34,5.97,4.64,5.3,0.67
5970,1.66,2.11,-0.63,0.74,1.37,6.54,-4.66,0.94,5.6,3.85,-3.18,0.33,3.52
6200,1.71,2.11,-1.37,0.37,1.74,6.54,-4.71,0.91,5.63,4.09,-2.66,0.72,3.38
6570,3.31,3.69,-3,0.34,3.34,7.49,-6.97,0.26,7.23,5.59,-4.97,0.31,5.28
6832,1.71,1.91,-0.56,0.68,1.24,6.86,-1.31,2.77,4.09,4.03,-1.84,1.09,2.94
7004,0.91,1.11,0.83,0.97,0.14,3.83,2.74,3.29,0.54,2.76,1.79,2.27,0.48
7092,2.34,2.74,-1.83,0.46,2.29,5.74,-0.54,2.6,3.14,4.18,-2.24,0.97,3.21
7185,0.83,0.83,0.09,0.46,0.37,2.46,0.91,1.69,0.77,1.79,0.39,1.09,0.7
7200,2.97,3.77,2.8,3.29,0.49,7.23,5.91,6.57,0.66,6.52,5,5.76,0.76
7286,2.03,2.4,2.23,2.31,0.09,6.37,5.34,5.86,0.51,4.88,3.85,4.36,0.52
7490,1.66,1.89,1.14,1.51,0.37,5.74,3.91,4.83,0.91,4.13,2.19,3.16,0.97
7640,2.26,2.71,-0.89,0.91,1.8,6.43,-0.37,3.03,3.4,5.12,-2.15,1.48,3.64
7920,1.23,1.4,-0.83,0.29,1.11,5.86,-2.71,1.57,4.29,3.3,-1.42,0.94,2.36
8030,3.43,4.26,1.4,2.83,1.43,7.51,4.66,6.09,1.43,5.76,1.33,3.55,2.21
8080,2.29,2.88,1.82,2.35,0.53,6.51,3.94,5.23,1.29,5.24,1.36,3.3,1.94
